 0.2000  0.0000  0.7500,  0.1879  0.0684  0.7500,  0.1532  0.1286  0.7500,  0.1000  0.1732  0.7500
 0.2462  0.0000  0.5000,  0.2314  0.0842  0.5000,  0.1886  0.1583  0.5000,  0.1231  0.2132  0.5000
 0.2781  0.0000  0.2500,  0.2613  0.0951  0.2500,  0.2130  0.1787  0.2500,  0.1390  0.2408  0.2500
 0.3031  0.0000  0.0000, -0.1220 -0.0444  0.0000,  0.5639  0.4732  0.0000,  0.1516  0.2625  0.0000

 0.3031  0.0000  0.0000, -0.1220 -0.0444  0.0000,  0.5639  0.4732  0.0000,  0.1516  0.2625  0.0000
 0.0000  0.0000  0.2000,  0.1010  0.0000  0.2000,  0.2021  0.0000  0.2000,  0.3031  0.0000  0.2000
 0.0000  0.0000  0.2000,  0.0505  0.0875  0.2000,  0.1010  0.1750  0.2000,  0.1516  0.2625  0.2000
 0.0000  0.0000  0.2000,  0.0505  0.0875  0.2000,  0.1010  0.1750  0.2000,  0.1516  0.2625  0.2000

 0.1000  0.1732  0.7500,  0.0347  0.1970  0.7500, -0.0347  0.1970  0.7500, -0.1000  0.1732  0.7500
 0.1231  0.2132  0.5000,  0.0428  0.2425  0.5000, -0.0428  0.2425  0.5000, -0.1231  0.2132  0.5000
 0.1390  0.2408  0.2500,  0.0483  0.2739  0.2500, -0.0483  0.2739  0.2500, -0.1390  0.2408  0.2500
 0.1516  0.2625  0.0000, -0.0226 -0.1279  0.0000, -0.1278  0.7250  0.0000, -0.1516  0.2625  0.0000

 0.1516  0.2625  0.0000, -0.0226 -0.1279  0.0000, -0.1278  0.7250  0.0000, -0.1516  0.2625  0.0000
 0.0000  0.0000  0.2000,  0.0505  0.0875  0.2000,  0.1010  0.1750  0.2000,  0.1516  0.2625  0.2000
 0.0000  0.0000  0.2000, -0.0505  0.0875  0.2000, -0.1010  0.1750  0.2000, -0.1516  0.2625  0.2000
 0.0000  0.0000  0.2000, -0.0505  0.0875  0.2000, -0.1010  0.1750  0.2000, -0.1516  0.2625  0.2000

